Sergio vs Roberto// GANADOR = Sergio
Messi vs LuisMiguel// GANADOR = Messi
Sergio vs Sergio// GANADOR = Sergio
LuisMiguel vs Sergio// GANADOR = LuisMiguel
Josefina vs LuisMiguel// GANADOR = Josefina
Messi vs Josefina// GANADOR = Messi
Messi vs Sergio// GANADOR = Messi
GANADOR DEL TORNEO = Messi(Vikingo), FECHA 20/06/2022 23:51:48
Lucián vs Sidi// GANADOR = Lucián
Joao vs Bagrat// GANADOR = Joao
Ensa vs Sidi// GANADOR = Ensa
Giorgio vs Joao// GANADOR = Giorgio
Nael vs Giorgio// GANADOR = Nael
Ensa vs Nael// GANADOR = Ensa
Ensa vs Lucián// GANADOR = Ensa
GANADOR DEL TORNEO = Ensa(Vikingo), FECHA 20/06/2022 23:54:24
